Age,AnnualIncome,FamilyMembers,ChronicDiseases,TravelInsurance,Employment Type_Government Sector,Employment Type_Private Sector/Self Employed,GraduateOrNot_No,GraduateOrNot_Yes,FrequentFlyer_No,FrequentFlyer_Yes,EverTravelledAbroad_No,EverTravelledAbroad_Yes
0.46342960232032593,-1.4140613862803884,0.7749637116799575,1,0,True,False,False,True,True,False,True,False
0.46342960232032593,0.8420117087113573,1.3963732738704644,0,0,False,True,False,True,True,False,True,False
1.493445955575906,-1.1486410221637124,-0.46785541270105613,1,1,False,True,False,True,True,False,True,False
-0.5665867509352543,-0.6178002939303605,-1.089264974891563,1,0,False,True,False,True,True,False,True,False
-0.5665867509352543,-0.6178002939303605,2.017782836060971,1,0,False,True,False,True,False,True,True,False
-1.5966031041908346,0.5765913445946813,-0.46785541270105613,0,0,False,True,True,False,True,False,True,False
0.46342960232032593,0.9747218907696953,-0.46785541270105613,0,0,True,False,False,True,True,False,True,False
0.46342960232032593,1.1074320728280334,-1.089264974891563,0,1,False,True,False,True,False,True,False,True
-0.5665867509352543,1.3728524369447093,0.7749637116799575,1,1,False,True,False,True,False,True,False,True
1.1501071711573794,-0.3523799298136845,-1.089264974891563,0,0,True,False,False,True,False,True,True,False
0.46342960232032593,-1.4140613862803884,2.639192398251478,1,0,True,False,False,True,True,False,True,False
-1.253264319772308,1.2401422548863712,0.1535541494894507,0,1,False,True,False,True,False,True,False,True
0.8067683867388526,-0.21966974775534653,0.7749637116799575,0,1,True,False,False,True,True,False,True,False
0.46342960232032593,1.5055626190030473,0.7749637116799575,0,1,True,False,False,True,False,True,False,True
0.46342960232032593,-1.4140613862803884,-1.089264974891563,0,0,True,False,False,True,True,False,True,False
1.493445955575906,-0.6178002939303605,1.3963732738704644,0,0,False,True,False,True,True,False,True,False
-0.5665867509352543,0.5765913445946813,-0.46785541270105613,1,0,False,True,False,True,True,False,True,False
-0.5665867509352543,-0.3523799298136845,1.3963732738704644,0,1,False,True,False,True,True,False,True,False
-0.22324796651672757,0.3111709804780054,0.1535541494894507,1,1,False,True,False,True,True,False,True,False
1.493445955575906,1.5055626190030473,-1.7106745370820697,0,1,False,True,False,True,False,True,False,True
-0.5665867509352543,0.5765913445946813,0.7749637116799575,0,0,False,True,False,True,False,True,True,False
-0.22324796651672757,-1.5467715683387264,-1.089264974891563,0,1,False,True,False,True,True,False,True,False
0.46342960232032593,0.4438811625363434,-0.46785541270105613,0,0,False,True,False,True,True,False,True,False
-0.5665867509352543,-0.8832206580470364,2.639192398251478,0,1,True,False,False,True,True,False,True,False
0.46342960232032593,1.5055626190030473,1.3963732738704644,0,0,True,False,False,True,False,True,False,True
